Row,Day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
1,Sunday,1,2014-09-14,2146,1582,1430,152
2,Monday,2,2014-09-15,3621,2528,2297,231
3,Tuesday,3,2014-09-16,3698,2630,2352,278
4,Wednesday,4,2014-09-17,3667,2614,2327,287
5,Thursday,5,2014-09-18,3316,2366,2130,236
6,Friday,6,2014-09-19,2815,1863,1622,241
7,Saturday,7,2014-09-20,1658,1118,985,133
8,Sunday,1,2014-09-21,2288,1656,1481,175
9,Monday,2,2014-09-22,3638,2586,2312,274
10,Tuesday,3,2014-09-23,4462,3257,2989,268
11,Wednesday,4,2014-09-24,4414,3175,2891,284
12,Thursday,5,2014-09-25,4315,3029,2743,286
13,Friday,6,2014-09-26,3323,2249,2033,216
14,Saturday,7,2014-09-27,1656,1180,1040,140
15,Sunday,1,2014-09-28,2465,1806,1613,193
16,Monday,2,2014-09-29,4096,2873,2577,296
17,Tuesday,3,2014-09-30,4474,3032,2720,312
18,Wednesday,4,2014-10-01,4124,2849,2541,308
19,Thursday,5,2014-10-02,3514,2489,2239,250
20,Friday,6,2014-10-03,3005,2097,1856,241
21,Saturday,7,2014-10-04,2054,1436,1274,162
22,Sunday,1,2014-10-05,2847,1913,1713,200
23,Monday,2,2014-10-06,4501,3181,2853,328
24,Tuesday,3,2014-10-07,4603,3163,2804,359
25,Wednesday,4,2014-10-08,4187,3014,2663,351
26,Thursday,5,2014-10-09,4343,2864,2545,319
27,Friday,6,2014-10-10,3565,2382,2100,282
28,Saturday,7,2014-10-11,2080,1457,1280,177
29,Sunday,1,2014-10-12,3031,2089,1856,233
30,Monday,2,2014-10-13,4814,3339,2973,366
31,Tuesday,3,2014-10-14,5040,3604,3217,387
32,Wednesday,4,2014-10-15,5028,3515,3094,421
33,Thursday,5,2014-10-16,4658,3331,2955,376
34,Friday,6,2014-10-17,3624,2477,2148,329
35,Saturday,7,2014-10-18,2285,1619,1416,203
36,Sunday,1,2014-10-19,3454,2346,2060,286
37,Monday,2,2014-10-20,5307,3717,3308,409
38,Tuesday,3,2014-10-21,5135,3701,3280,421
39,Wednesday,4,2014-10-22,5084,3611,3177,434
40,Thursday,5,2014-10-23,4650,3316,2940,376
41,Friday,6,2014-10-24,3571,2498,2170,328
42,Saturday,7,2014-10-25,2354,1661,1417,244
43,Sunday,1,2014-10-26,3497,2508,2218,290
44,Monday,2,2014-10-27,5294,3737,3286,451
45,Tuesday,3,2014-10-28,4643,3328,2905,423
46,Wednesday,4,2014-10-29,4596,3279,2863,416
47,Thursday,5,2014-10-30,4162,3041,2657,384
48,Friday,6,2014-10-31,2933,2007,1728,279
49,Saturday,7,2014-11-01,2202,1496,1270,226
50,Sunday,1,2014-11-02,3083,2204,1940,264
51,Monday,2,2014-11-03,4376,3057,2629,428
52,Tuesday,3,2014-11-04,4704,3141,2739,402
53,Wednesday,4,2014-11-05,4306,3200,2797,403
54,Thursday,5,2014-11-06,4178,3034,2627,407
55,Friday,6,2014-11-07,3236,2318,1975,343
56,Saturday,7,2014-11-08,2010,1536,1345,191
57,Sunday,1,2014-11-09,2901,2141,1849,292
58,Monday,2,2014-11-10,4754,3325,2885,440
59,Tuesday,3,2014-11-11,4417,3203,2793,410
60,Wednesday,4,2014-11-12,4535,3351,2897,454
61,Thursday,5,2014-11-13,4274,3194,2758,436
62,Friday,6,2014-11-14,3382,2423,2061,362
63,Saturday,7,2014-11-15,2085,1488,1280,208
64,Sunday,1,2014-11-16,3083,2215,1926,289
65,Monday,2,2014-11-17,4860,3559,3069,490
66,Tuesday,3,2014-11-18,4893,3570,3133,437
67,Wednesday,4,2014-11-19,4866,3544,3056,488
68,Thursday,5,2014-11-20,4584,3357,2899,458
69,Friday,6,2014-11-21,3914,2750,2361,389
70,Saturday,7,2014-11-22,2431,1716,1463,253
71,Sunday,1,2014-11-23,3157,2369,2082,287
72,Monday,2,2014-11-24,5045,3615,3146,469
73,Tuesday,3,2014-11-25,4746,3236,2821,415
74,Wednesday,4,2014-11-26,4314,2919,2513,406
75,Thursday,5,2014-11-27,3663,2476,2162,314
76,Friday,6,2014-11-28,3270,2268,1931,337
77,Saturday,7,2014-11-29,2905,1976,1695,281
78,Sunday,1,2014-11-30,4016,2832,2489,343
79,Monday,2,2014-12-01,5266,3877,3317,560
80,Tuesday,3,2014-12-02,5795,4274,3700,574
81,Wednesday,4,2014-12-03,5728,4217,3656,561
82,Thursday,5,2014-12-04,5293,3830,3295,535
83,Friday,6,2014-12-05,3934,2856,2479,377
84,Saturday,7,2014-12-06,3071,2165,1855,310
85,Sunday,1,2014-12-07,3876,2984,2582,402
86,Monday,2,2014-12-08,5878,4375,3829,546
